"cds_id","gene","locus_tag","protein","protein_id"
"lcl_NZ_CP166677.1_cds_WP_054019602.1_2135",NA,"ABFT21_RS10775","isocitrate lyase/PEP mutase family protein","WP_054019602.1"
"lcl_NZ_CP166677.1_cds_WP_054019603.1_2136",NA,"ABFT21_RS10780","TauD/TfdA family dioxygenase","WP_054019603.1"
"lcl_NZ_CP166677.1_cds_WP_054019604.1_2137",NA,"ABFT21_RS10785","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054019604.1"
"lcl_NZ_CP166677.1_cds_WP_054019605.1_2138",NA,"ABFT21_RS10790","GntR family transcriptional regulator","WP_054019605.1"
"lcl_NZ_CP166677.1_cds_WP_231638067.1_2139",NA,"ABFT21_RS10795","efflux RND transporter periplasmic adaptor subunit","WP_231638067.1"
"lcl_NZ_CP166677.1_cds_WP_054019606.1_2140",NA,"ABFT21_RS10800","efflux RND transporter permease subunit","WP_054019606.1"
"lcl_NZ_CP166677.1_cds_WP_054019607.1_2141",NA,"ABFT21_RS10805","DUF6781 family protein","WP_054019607.1"
"lcl_NZ_CP166677.1_cds_WP_054019608.1_2142","phbB","ABFT21_RS10810","acetoacetyl-CoA reductase","WP_054019608.1"
"lcl_NZ_CP166677.1_cds_WP_054019609.1_2143","iscR","ABFT21_RS10815","Fe-S cluster assembly transcriptional regulator IscR","WP_054019609.1"
"lcl_NZ_CP166677.1_cds_WP_054019610.1_2144",NA,"ABFT21_RS10820","IscS subfamily cysteine desulfurase","WP_054019610.1"
"lcl_NZ_CP166677.1_cds_WP_054019611.1_2145","iscU","ABFT21_RS10825","Fe-S cluster assembly scaffold IscU","WP_054019611.1"
"lcl_NZ_CP166677.1_cds_WP_054019612.1_2146","iscA","ABFT21_RS10830","iron-sulfur cluster assembly protein IscA","WP_054019612.1"
"lcl_NZ_CP166677.1_cds_WP_054019613.1_2147","hscB","ABFT21_RS10835","Fe-S protein assembly co-chaperone HscB","WP_054019613.1"
"lcl_NZ_CP166677.1_cds_WP_054019614.1_2148","hscA","ABFT21_RS10840","Fe-S protein assembly chaperone HscA","WP_054019614.1"
"lcl_NZ_CP166677.1_cds_WP_054019615.1_2149","fdx","ABFT21_RS10845","ISC system 2Fe-2S type ferredoxin","WP_054019615.1"
"lcl_NZ_CP166677.1_cds_WP_054019616.1_2150","tsaD","ABFT21_RS10850","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD","WP_054019616.1"
"lcl_NZ_CP166677.1_cds_WP_439951436.1_2151",NA,"ABFT21_RS10855","branched-chain amino acid ABC transporter substrate-binding protein","WP_439951436.1"
"lcl_NZ_CP166677.1_cds_WP_054019617.1_2152",NA,"ABFT21_RS10860","pyridoxal phosphate-dependent aminotransferase","WP_054019617.1"
"lcl_NZ_CP166677.1_cds_WP_054019618.1_2153","rpsO","ABFT21_RS10865","30S ribosomal protein S15","WP_054019618.1"
"lcl_NZ_CP166677.1_cds_WP_054019619.1_2154","pnp","ABFT21_RS10870","polyribonucleotide nucleotidyltransferase","WP_054019619.1"
"lcl_NZ_CP166677.1_cds_WP_054019650.1_2155",NA,"ABFT21_RS10875","NAD(P)H-quinone oxidoreductase","WP_054019650.1"
"lcl_NZ_CP166677.1_cds_WP_054019620.1_2156","tpiA","ABFT21_RS10880","triose-phosphate isomerase","WP_054019620.1"
"lcl_NZ_CP166677.1_cds_WP_054019621.1_2157","secG","ABFT21_RS10885","preprotein translocase subunit SecG","WP_054019621.1"
"lcl_NZ_CP166677.1_cds_WP_054019622.1_2158",NA,"ABFT21_RS10895","NADH-quinone oxidoreductase subunit A","WP_054019622.1"
"lcl_NZ_CP166677.1_cds_WP_054019623.1_2159",NA,"ABFT21_RS10900","NuoB/complex I 20 kDa subunit family protein","WP_054019623.1"
"lcl_NZ_CP166677.1_cds_WP_054019624.1_2160",NA,"ABFT21_RS10905","NADH-quinone oxidoreductase subunit C","WP_054019624.1"
"lcl_NZ_CP166677.1_cds_WP_054019625.1_2161",NA,"ABFT21_RS10910","NADH-quinone oxidoreductase subunit D","WP_054019625.1"
"lcl_NZ_CP166677.1_cds_WP_054019626.1_2162",NA,"ABFT21_RS10915","NADH-quinone oxidoreductase subunit NuoE family protein","WP_054019626.1"
"lcl_NZ_CP166677.1_cds_WP_054019627.1_2163","nuoF","ABFT21_RS10920","NADH-quinone oxidoreductase subunit NuoF","WP_054019627.1"
"lcl_NZ_CP166677.1_cds_WP_054019628.1_2164","nuoG","ABFT21_RS10925","NADH-quinone oxidoreductase subunit NuoG","WP_054019628.1"
"lcl_NZ_CP166677.1_cds_WP_054019629.1_2165","nuoH","ABFT21_RS10930","NADH-quinone oxidoreductase subunit NuoH","WP_054019629.1"
"lcl_NZ_CP166677.1_cds_WP_054019630.1_2166","nuoI","ABFT21_RS10935","NADH-quinone oxidoreductase subunit NuoI","WP_054019630.1"
"lcl_NZ_CP166677.1_cds_WP_054019631.1_2167",NA,"ABFT21_RS10940","NADH-quinone oxidoreductase subunit J","WP_054019631.1"
"lcl_NZ_CP166677.1_cds_WP_054019632.1_2168","nuoK","ABFT21_RS10945","NADH-quinone oxidoreductase subunit NuoK","WP_054019632.1"
"lcl_NZ_CP166677.1_cds_WP_054019633.1_2169","nuoL","ABFT21_RS10950","NADH-quinone oxidoreductase subunit L","WP_054019633.1"
"lcl_NZ_CP166677.1_cds_WP_054019634.1_2170",NA,"ABFT21_RS10955","NADH-quinone oxidoreductase subunit M","WP_054019634.1"
"lcl_NZ_CP166677.1_cds_WP_054019635.1_2171","nuoN","ABFT21_RS10960","NADH-quinone oxidoreductase subunit NuoN","WP_054019635.1"
"lcl_NZ_CP166677.1_cds_WP_231638068.1_2172",NA,"ABFT21_RS10965","NUDIX domain-containing protein","WP_231638068.1"
"lcl_NZ_CP166677.1_cds_WP_054019636.1_2173",NA,"ABFT21_RS10970","DUF1178 family protein","WP_054019636.1"
"lcl_NZ_CP166677.1_cds_WP_231638069.1_2174",NA,"ABFT21_RS10975","FAD-binding oxidoreductase","WP_231638069.1"
"lcl_NZ_CP166677.1_cds_WP_054019637.1_2175",NA,"ABFT21_RS10980","DUF2069 domain-containing protein","WP_054019637.1"
"lcl_NZ_CP166677.1_cds_WP_197284612.1_2176",NA,"ABFT21_RS10985","YihY family inner membrane protein","WP_197284612.1"
"lcl_NZ_CP166677.1_cds_WP_054019638.1_2177",NA,"ABFT21_RS10990","hypothetical protein","WP_054019638.1"
"lcl_NZ_CP166677.1_cds_WP_054019639.1_2178",NA,"ABFT21_RS10995","alpha/beta fold hydrolase","WP_054019639.1"
"lcl_NZ_CP166677.1_cds_WP_054019640.1_2179",NA,"ABFT21_RS11000","O-acetylhomoserine aminocarboxypropyltransferase","WP_054019640.1"
"lcl_NZ_CP166677.1_cds_WP_054019641.1_2180",NA,"ABFT21_RS11005","CBS domain-containing protein","WP_054019641.1"
"lcl_NZ_CP166677.1_cds_WP_369691132.1_2181","hpnE","ABFT21_RS11010","hydroxysqualene dehydroxylase HpnE","WP_369691132.1"
"lcl_NZ_CP166677.1_cds_WP_054019643.1_2182","hpnD","ABFT21_RS11015","presqualene diphosphate synthase HpnD","WP_054019643.1"
"lcl_NZ_CP166677.1_cds_WP_082368141.1_2183","hpnC","ABFT21_RS11020","squalene synthase HpnC","WP_082368141.1"
"lcl_NZ_CP166677.1_cds_WP_054019645.1_2184",NA,"ABFT21_RS11025","efflux RND transporter periplasmic adaptor subunit","WP_054019645.1"
"lcl_NZ_CP166677.1_cds_WP_054019646.1_2185",NA,"ABFT21_RS11030","efflux RND transporter permease subunit","WP_054019646.1"
"lcl_NZ_CP166677.1_cds_WP_157548795.1_2186",NA,"ABFT21_RS11035","response regulator","WP_157548795.1"
"lcl_NZ_CP166677.1_cds_WP_054019647.1_2187",NA,"ABFT21_RS11040","ATP-binding protein","WP_054019647.1"
"lcl_NZ_CP166677.1_cds_WP_463938092.1_2188",NA,"ABFT21_RS11045","methyl-accepting chemotaxis protein","WP_463938092.1"
"lcl_NZ_CP166677.1_cds_WP_054022811.1_2189",NA,"ABFT21_RS11050","glycosyltransferase","WP_054022811.1"
"lcl_NZ_CP166677.1_cds_WP_054022810.1_2190",NA,"ABFT21_RS11055","nucleoside deaminase","WP_054022810.1"
"lcl_NZ_CP166677.1_cds_WP_054022809.1_2191",NA,"ABFT21_RS11060","ABC transporter permease","WP_054022809.1"
"lcl_NZ_CP166677.1_cds_WP_054022808.1_2192",NA,"ABFT21_RS11065","ABC transporter ATP-binding protein","WP_054022808.1"
"lcl_NZ_CP166677.1_cds_WP_054022807.1_2193",NA,"ABFT21_RS11070","ABC transporter substrate-binding protein","WP_054022807.1"
"lcl_NZ_CP166677.1_cds_WP_054022806.1_2194",NA,"ABFT21_RS11075","M20 family metallopeptidase","WP_054022806.1"
"lcl_NZ_CP166677.1_cds_WP_054022805.1_2195","uraD","ABFT21_RS11080","2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase","WP_054022805.1"
"lcl_NZ_CP166677.1_cds_WP_054022804.1_2196","puuE","ABFT21_RS11085","allantoinase PuuE","WP_054022804.1"
"lcl_NZ_CP166677.1_cds_WP_054022803.1_2197",NA,"ABFT21_RS11090","GntR family transcriptional regulator","WP_054022803.1"
"lcl_NZ_CP166677.1_cds_WP_054022802.1_2198","uraH","ABFT21_RS11095","hydroxyisourate hydrolase","WP_054022802.1"
"lcl_NZ_CP166677.1_cds_WP_054022801.1_2199",NA,"ABFT21_RS11100","urate hydroxylase PuuD","WP_054022801.1"
"lcl_NZ_CP166677.1_cds_WP_231638290.1_2200",NA,"ABFT21_RS11105","nucleobase:cation symporter-2 family protein","WP_231638290.1"
"lcl_NZ_CP166677.1_cds_WP_054022800.1_2201",NA,"ABFT21_RS11110","GntR family transcriptional regulator","WP_054022800.1"
"lcl_NZ_CP166677.1_cds_WP_054022799.1_2202",NA,"ABFT21_RS11115","Bug family tripartite tricarboxylate transporter substrate binding protein","WP_054022799.1"
"lcl_NZ_CP166677.1_cds_WP_054022798.1_2203",NA,"ABFT21_RS11120","CDP-6-deoxy-delta-3,4-glucoseen reductase","WP_054022798.1"
"lcl_NZ_CP166677.1_cds_WP_054022797.1_2204",NA,"ABFT21_RS11125","NAD-dependent epimerase/dehydratase family protein","WP_054022797.1"
"lcl_NZ_CP166677.1_cds_WP_054022796.1_2205",NA,"ABFT21_RS11130","S1C family serine protease","WP_054022796.1"
"lcl_NZ_CP166677.1_cds_WP_054022795.1_2206",NA,"ABFT21_RS11135","rhomboid family intramembrane serine protease","WP_054022795.1"
"lcl_NZ_CP166677.1_cds_WP_054022812.1_2207","cysM","ABFT21_RS11145","cysteine synthase CysM","WP_054022812.1"
"lcl_NZ_CP166677.1_cds_WP_054022794.1_2208",NA,"ABFT21_RS11150","NUDIX hydrolase","WP_054022794.1"
"lcl_NZ_CP166677.1_cds_WP_054022793.1_2209",NA,"ABFT21_RS11155","sulfurtransferase TusA family protein","WP_054022793.1"
"lcl_NZ_CP166677.1_cds_WP_054022792.1_2210","galU","ABFT21_RS11160","UTP--glucose-1-phosphate uridylyltransferase GalU","WP_054022792.1"
"lcl_NZ_CP166677.1_cds_WP_054022791.1_2211",NA,"ABFT21_RS11165","valine--tRNA ligase","WP_054022791.1"
"lcl_NZ_CP166677.1_cds_WP_054022790.1_2212",NA,"ABFT21_RS11170","S41 family peptidase","WP_054022790.1"
"lcl_NZ_CP166677.1_cds_WP_082368730.1_2213",NA,"ABFT21_RS11175","OmpA family protein","WP_082368730.1"
"lcl_NZ_CP166677.1_cds_WP_054022309.1_2214",NA,"ABFT21_RS11180","GMP reductase","WP_054022309.1"
"lcl_NZ_CP166677.1_cds_WP_054022308.1_2215",NA,"ABFT21_RS11185","TolC family protein","WP_054022308.1"
"lcl_NZ_CP166677.1_cds_WP_054022307.1_2216",NA,"ABFT21_RS11190","hypothetical protein","WP_054022307.1"
"lcl_NZ_CP166677.1_cds_WP_054022306.1_2217",NA,"ABFT21_RS11195","efflux RND transporter permease subunit","WP_054022306.1"
"lcl_NZ_CP166677.1_cds_WP_082368622.1_2218",NA,"ABFT21_RS11200","UvrD-helicase domain-containing protein","WP_082368622.1"
"lcl_NZ_CP166677.1_cds_WP_054022305.1_2219",NA,"ABFT21_RS11205","PhoX family protein","WP_054022305.1"
"lcl_NZ_CP166677.1_cds_WP_054022304.1_2220",NA,"ABFT21_RS11210","P-loop NTPase family protein","WP_054022304.1"
"lcl_NZ_CP166677.1_cds_WP_054022303.1_2221",NA,"ABFT21_RS11215","SDR family oxidoreductase","WP_054022303.1"
"lcl_NZ_CP166677.1_cds_WP_054022302.1_2222",NA,"ABFT21_RS11220","BPSS1780 family membrane protein","WP_054022302.1"
"lcl_NZ_CP166677.1_cds_WP_054022301.1_2223",NA,"ABFT21_RS11225","homoserine kinase","WP_054022301.1"
"lcl_NZ_CP166677.1_cds_WP_054022300.1_2224",NA,"ABFT21_RS11230","hypothetical protein","WP_054022300.1"
"lcl_NZ_CP166677.1_cds_WP_054022299.1_2225","polA","ABFT21_RS11235","DNA polymerase I","WP_054022299.1"
"lcl_NZ_CP166677.1_cds_WP_054022298.1_2226",NA,"ABFT21_RS11240","FecR domain-containing protein","WP_054022298.1"
"lcl_NZ_CP166677.1_cds_WP_197284765.1_2227",NA,"ABFT21_RS11245","CHASE2 domain-containing protein","WP_197284765.1"
"lcl_NZ_CP166677.1_cds_WP_054022296.1_2228",NA,"ABFT21_RS11250","NAD(P)H-dependent flavin oxidoreductase","WP_054022296.1"
"lcl_NZ_CP166677.1_cds_WP_054022295.1_2229",NA,"ABFT21_RS11255","hypothetical protein","WP_054022295.1"
"lcl_NZ_CP166677.1_cds_WP_054022294.1_2230",NA,"ABFT21_RS11260","2-oxoglutarate dehydrogenase E1 component","WP_054022294.1"
"lcl_NZ_CP166677.1_cds_WP_054022293.1_2231","odhB","ABFT21_RS11265","2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase","WP_054022293.1"
"lcl_NZ_CP166677.1_cds_WP_054022292.1_2232","lpdA","ABFT21_RS11270","dihydrolipoyl dehydrogenase","WP_054022292.1"
"lcl_NZ_CP166677.1_cds_WP_054022291.1_2233","zapE","ABFT21_RS11275","cell division protein ZapE","WP_054022291.1"
"lcl_NZ_CP166677.1_cds_WP_054022290.1_2234",NA,"ABFT21_RS11280","hypothetical protein","WP_054022290.1"
"lcl_NZ_CP166677.1_cds_WP_082368621.1_2235",NA,"ABFT21_RS11285","PP2C family protein-serine/threonine phosphatase","WP_082368621.1"
"lcl_NZ_CP166677.1_cds_WP_054022289.1_2236",NA,"ABFT21_RS11290","DUF465 domain-containing protein","WP_054022289.1"
"lcl_NZ_CP166677.1_cds_WP_054022320.1_2237","yoaA","ABFT21_RS11295","DNA repair helicase YoaA","WP_054022320.1"
"lcl_NZ_CP166677.1_cds_WP_054022319.1_2238",NA,"ABFT21_RS11300","outer membrane protein assembly factor BamD","WP_054022319.1"
"lcl_NZ_CP166677.1_cds_WP_082368620.1_2239",NA,"ABFT21_RS11305","RluA family pseudouridine synthase","WP_082368620.1"
"lcl_NZ_CP166677.1_cds_WP_082368619.1_2240","scpB","ABFT21_RS11310","SMC-Scp complex subunit ScpB","WP_082368619.1"
"lcl_NZ_CP166677.1_cds_WP_054022288.1_2241",NA,"ABFT21_RS11315","pseudouridine synthase","WP_054022288.1"
"lcl_NZ_CP166677.1_cds_WP_054022287.1_2242","ndk","ABFT21_RS11320","nucleoside-diphosphate kinase","WP_054022287.1"
"lcl_NZ_CP166677.1_cds_WP_054022286.1_2243","rlmN","ABFT21_RS11325","dual-specificity RNA methyltransferase RlmN","WP_054022286.1"
"lcl_NZ_CP166677.1_cds_WP_054022285.1_2244","pilW","ABFT21_RS11330","type IV pilus biogenesis/stability protein PilW","WP_054022285.1"
"lcl_NZ_CP166677.1_cds_WP_054022284.1_2245",NA,"ABFT21_RS11335","helix-turn-helix domain-containing protein","WP_054022284.1"
"lcl_NZ_CP166677.1_cds_WP_054022283.1_2246","ispG","ABFT21_RS11340","flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","WP_054022283.1"
"lcl_NZ_CP166677.1_cds_WP_054022282.1_2247","hisS","ABFT21_RS11345","histidine--tRNA ligase","WP_054022282.1"
"lcl_NZ_CP166677.1_cds_WP_054022281.1_2248",NA,"ABFT21_RS11350","YfgM family protein","WP_054022281.1"
"lcl_NZ_CP166677.1_cds_WP_231638244.1_2249","bamB","ABFT21_RS11355","outer membrane protein assembly factor BamB","WP_231638244.1"
"lcl_NZ_CP166677.1_cds_WP_054022280.1_2250","der","ABFT21_RS11360","ribosome biogenesis GTPase Der","WP_054022280.1"
"lcl_NZ_CP166677.1_cds_WP_054022279.1_2251","hfq","ABFT21_RS11365","RNA chaperone Hfq","WP_054022279.1"
"lcl_NZ_CP166677.1_cds_WP_231638243.1_2252","hflX","ABFT21_RS11370","GTPase HflX","WP_231638243.1"
"lcl_NZ_CP166677.1_cds_WP_082368617.1_2253","hflK","ABFT21_RS11375","FtsH protease activity modulator HflK","WP_082368617.1"
"lcl_NZ_CP166677.1_cds_WP_054022278.1_2254","hflC","ABFT21_RS11380","protease modulator HflC","WP_054022278.1"
"lcl_NZ_CP166677.1_cds_WP_054022277.1_2255",NA,"ABFT21_RS11385","DUF2065 domain-containing protein","WP_054022277.1"
"lcl_NZ_CP166677.1_cds_WP_054022315.1_2256",NA,"ABFT21_RS11390","ATP phosphoribosyltransferase regulatory subunit","WP_054022315.1"
"lcl_NZ_CP166677.1_cds_WP_054022276.1_2257",NA,"ABFT21_RS11395","adenylosuccinate synthase","WP_054022276.1"
"lcl_NZ_CP166677.1_cds_WP_054022275.1_2258",NA,"ABFT21_RS11400","phosphoribosyltransferase","WP_054022275.1"
"lcl_NZ_CP166677.1_cds_WP_054022274.1_2259","rnr","ABFT21_RS11410","ribonuclease R","WP_054022274.1"
"lcl_NZ_CP166677.1_cds_WP_054022273.1_2260",NA,"ABFT21_RS11415","bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase","WP_054022273.1"
"lcl_NZ_CP166677.1_cds_WP_054022272.1_2261",NA,"ABFT21_RS11420","FAD-dependent oxidoreductase","WP_054022272.1"
"lcl_NZ_CP166677.1_cds_WP_054022271.1_2262",NA,"ABFT21_RS11425","amidase","WP_054022271.1"
"lcl_NZ_CP166677.1_cds_WP_054022270.1_2263","rpsB","ABFT21_RS11430","30S ribosomal protein S2","WP_054022270.1"
"lcl_NZ_CP166677.1_cds_WP_054022269.1_2264","tsf","ABFT21_RS11435","translation elongation factor Ts","WP_054022269.1"
"lcl_NZ_CP166677.1_cds_WP_054022268.1_2265","pyrH","ABFT21_RS11440","UMP kinase","WP_054022268.1"
"lcl_NZ_CP166677.1_cds_WP_054022267.1_2266","frr","ABFT21_RS11445","ribosome recycling factor","WP_054022267.1"
"lcl_NZ_CP166677.1_cds_WP_259375183.1_2267","uppS","ABFT21_RS11450","polyprenyl diphosphate synthase","WP_259375183.1"
"lcl_NZ_CP166677.1_cds_WP_054022266.1_2268",NA,"ABFT21_RS11455","phosphatidate cytidylyltransferase","WP_054022266.1"
"lcl_NZ_CP166677.1_cds_WP_054022265.1_2269","ispC","ABFT21_RS11460","1-deoxy-D-xylulose-5-phosphate reductoisomerase","WP_054022265.1"
"lcl_NZ_CP166677.1_cds_WP_054022264.1_2270","rseP","ABFT21_RS11465","RIP metalloprotease RseP","WP_054022264.1"
"lcl_NZ_CP166677.1_cds_WP_054022263.1_2271","bamA","ABFT21_RS11470","outer membrane protein assembly factor BamA","WP_054022263.1"
"lcl_NZ_CP166677.1_cds_WP_054022262.1_2272",NA,"ABFT21_RS11475","OmpH/Skp family outer membrane protein","WP_054022262.1"
"lcl_NZ_CP166677.1_cds_WP_082368616.1_2273","lpxD","ABFT21_RS11480","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","WP_082368616.1"
"lcl_NZ_CP166677.1_cds_WP_054022261.1_2274","fabZ","ABFT21_RS11485","3-hydroxyacyl-ACP dehydratase FabZ","WP_054022261.1"
"lcl_NZ_CP166677.1_cds_WP_054022260.1_2275","lpxA","ABFT21_RS11490","acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase","WP_054022260.1"
"lcl_NZ_CP166677.1_cds_WP_231638242.1_2276","lpxB","ABFT21_RS11495","lipid-A-disaccharide synthase","WP_231638242.1"
"lcl_NZ_CP166677.1_cds_WP_054022311.1_2277","rnhB","ABFT21_RS11500","ribonuclease HII","WP_054022311.1"
"lcl_NZ_CP166677.1_cds_WP_054022310.1_2278",NA,"ABFT21_RS11505","TrmH family RNA methyltransferase","WP_054022310.1"
"lcl_NZ_CP166677.1_cds_WP_054022259.1_2279","ppsR","ABFT21_RS11510","posphoenolpyruvate synthetase regulatory kinase/phosphorylase PpsR","WP_054022259.1"
"lcl_NZ_CP166677.1_cds_WP_054022258.1_2280","ppsA","ABFT21_RS11515","phosphoenolpyruvate synthase","WP_054022258.1"
"lcl_NZ_CP166677.1_cds_WP_054022257.1_2281","argG","ABFT21_RS11520","argininosuccinate synthase","WP_054022257.1"
"lcl_NZ_CP166677.1_cds_WP_054022256.1_2282","moaA","ABFT21_RS11525","GTP 3',8-cyclase MoaA","WP_054022256.1"
"lcl_NZ_CP166677.1_cds_WP_054022255.1_2283",NA,"ABFT21_RS11530","C40 family peptidase","WP_054022255.1"
"lcl_NZ_CP166677.1_cds_WP_463938097.1_2284",NA,"ABFT21_RS11535","propionate--CoA ligase","WP_463938097.1"
"lcl_NZ_CP166677.1_cds_WP_054021865.1_2285",NA,"ABFT21_RS11540","prolyl oligopeptidase family serine peptidase","WP_054021865.1"
"lcl_NZ_CP166677.1_cds_WP_054021857.1_2286",NA,"ABFT21_RS11545","YaeQ family protein","WP_054021857.1"
"lcl_NZ_CP166677.1_cds_WP_054021856.1_2287",NA,"ABFT21_RS11550","hypothetical protein","WP_054021856.1"
"lcl_NZ_CP166677.1_cds_WP_054021855.1_2288",NA,"ABFT21_RS11555","NAD(P)/FAD-dependent oxidoreductase","WP_054021855.1"
"lcl_NZ_CP166677.1_cds_WP_054021854.1_2289",NA,"ABFT21_RS11560","superantigen-like protein SSL4","WP_054021854.1"
"lcl_NZ_CP166677.1_cds_WP_082368540.1_2290",NA,"ABFT21_RS11565","DUF3734 domain-containing protein","WP_082368540.1"
"lcl_NZ_CP166677.1_cds_WP_054021853.1_2291",NA,"ABFT21_RS11570","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","WP_054021853.1"
"lcl_NZ_CP166677.1_cds_WP_054021852.1_2292",NA,"ABFT21_RS11575","class II aldolase/adducin family protein","WP_054021852.1"
"lcl_NZ_CP166677.1_cds_WP_054021851.1_2293",NA,"ABFT21_RS11580","PfkB family carbohydrate kinase","WP_054021851.1"
"lcl_NZ_CP166677.1_cds_WP_082368539.1_2294",NA,"ABFT21_RS11585","MFS transporter","WP_082368539.1"
"lcl_NZ_CP166677.1_cds_WP_054021850.1_2295",NA,"ABFT21_RS11590","alpha-amylase family protein","WP_054021850.1"
"lcl_NZ_CP166677.1_cds_WP_197284738.1_2296",NA,"ABFT21_RS11595","maltoporin","WP_197284738.1"
"lcl_NZ_CP166677.1_cds_WP_054021848.1_2297",NA,"ABFT21_RS11600","substrate-binding domain-containing protein","WP_054021848.1"
"lcl_NZ_CP166677.1_cds_WP_054021847.1_2298",NA,"ABFT21_RS11605","ABC transporter substrate-binding protein","WP_054021847.1"
"lcl_NZ_CP166677.1_cds_WP_054021846.1_2299",NA,"ABFT21_RS11610","carbohydrate ABC transporter permease","WP_054021846.1"
"lcl_NZ_CP166677.1_cds_WP_197284737.1_2300",NA,"ABFT21_RS11615","carbohydrate ABC transporter permease","WP_197284737.1"
"lcl_NZ_CP166677.1_cds_WP_054021845.1_2301",NA,"ABFT21_RS11620","alpha-glucosidase family protein","WP_054021845.1"
"lcl_NZ_CP166677.1_cds_WP_054021844.1_2302",NA,"ABFT21_RS11625","ABC transporter ATP-binding protein","WP_054021844.1"
"lcl_NZ_CP166677.1_cds_WP_054021843.1_2303",NA,"ABFT21_RS11630","alpha-glucosidase","WP_054021843.1"
"lcl_NZ_CP166677.1_cds_WP_054021842.1_2304","glgB","ABFT21_RS11635","1,4-alpha-glucan branching protein GlgB","WP_054021842.1"
"lcl_NZ_CP166677.1_cds_WP_054021841.1_2305","glgC","ABFT21_RS11640","glucose-1-phosphate adenylyltransferase","WP_054021841.1"
"lcl_NZ_CP166677.1_cds_WP_369691170.1_2306","glgA","ABFT21_RS11645","glycogen synthase GlgA","WP_369691170.1"
"lcl_NZ_CP166677.1_cds_WP_054021840.1_2307",NA,"ABFT21_RS11650","alpha-D-glucose phosphate-specific phosphoglucomutase","WP_054021840.1"
"lcl_NZ_CP166677.1_cds_WP_054021839.1_2308","pgi","ABFT21_RS11655","glucose-6-phosphate isomerase","WP_054021839.1"
"lcl_NZ_CP166677.1_cds_WP_231638215.1_2309",NA,"ABFT21_RS11660","tetratricopeptide repeat protein","WP_231638215.1"
"lcl_NZ_CP166677.1_cds_WP_054021859.1_2310",NA,"ABFT21_RS11670","nucleotide pyrophosphohydrolase","WP_054021859.1"
"lcl_NZ_CP166677.1_cds_WP_054021838.1_2311",NA,"ABFT21_RS11675","CIA30 family protein","WP_054021838.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS11680_2312",NA,"ABFT21_RS11680","JAB domain-containing protein",NA
"lcl_NZ_CP166677.1_cds_WP_082368537.1_2313",NA,"ABFT21_RS11685","GNAT family N-acetyltransferase","WP_082368537.1"
"lcl_NZ_CP166677.1_cds_ABFT21_RS11690_2314",NA,"ABFT21_RS11690","type II toxin-antitoxin system RelE/ParE family toxin",NA
"lcl_NZ_CP166677.1_cds_WP_054021836.1_2315",NA,"ABFT21_RS11695","SDR family NAD(P)-dependent oxidoreductase","WP_054021836.1"
"lcl_NZ_CP166677.1_cds_WP_054021835.1_2316",NA,"ABFT21_RS11700","crotonase/enoyl-CoA hydratase family protein","WP_054021835.1"
"lcl_NZ_CP166677.1_cds_WP_054021834.1_2317",NA,"ABFT21_RS11705","acyl-CoA dehydrogenase family protein","WP_054021834.1"
"lcl_NZ_CP166677.1_cds_WP_054021833.1_2318",NA,"ABFT21_RS11710","acyl-CoA dehydrogenase family protein","WP_054021833.1"
"lcl_NZ_CP166677.1_cds_WP_054021832.1_2319",NA,"ABFT21_RS11715","nitroreductase","WP_054021832.1"
"lcl_NZ_CP166677.1_cds_WP_054021831.1_2320",NA,"ABFT21_RS11720","acyl-CoA dehydrogenase family protein","WP_054021831.1"
"lcl_NZ_CP166677.1_cds_WP_054021830.1_2321",NA,"ABFT21_RS11725","enoyl-CoA hydratase/isomerase family protein","WP_054021830.1"
"lcl_NZ_CP166677.1_cds_WP_054021829.1_2322",NA,"ABFT21_RS11730","glutathione binding-like protein","WP_054021829.1"
"lcl_NZ_CP166677.1_cds_WP_054021828.1_2323",NA,"ABFT21_RS11735","2-hydroxychromene-2-carboxylate isomerase","WP_054021828.1"
"lcl_NZ_CP166677.1_cds_WP_054021827.1_2324",NA,"ABFT21_RS11740","FadR/GntR family transcriptional regulator","WP_054021827.1"
"lcl_NZ_CP166677.1_cds_WP_054021826.1_2325",NA,"ABFT21_RS11745","acyl-CoA dehydrogenase family protein","WP_054021826.1"
"lcl_NZ_CP166677.1_cds_WP_082368535.1_2326",NA,"ABFT21_RS11750","FadR/GntR family transcriptional regulator","WP_082368535.1"
"lcl_NZ_CP166677.1_cds_WP_197284736.1_2327",NA,"ABFT21_RS11755","CoA-transferase subunit beta","WP_197284736.1"
